E	dosup	dosdw	Int
-50	7.17E-85	7.17E-85	1.44E-86
-49.99	7.17E-85	7.17E-85	2.87E-86
-49.98	7.17E-85	7.17E-85	4.30E-86
-49.97	7.17E-85	7.17E-85	5.74E-86
-49.96	7.17E-85	7.17E-85	7.17E-86
-49.95	7.17E-85	7.17E-85	8.61E-86
-49.94	7.17E-85	7.17E-85	1.00E-85
-49.93	7.17E-85	7.17E-85	1.15E-85
-49.92	7.17E-85	7.17E-85	1.29E-85
-49.91	7.17E-85	7.17E-85	1.44E-85
-49.9	7.17E-85	7.17E-85	1.58E-85
-49.89	7.17E-85	7.17E-85	1.72E-85
-49.88	7.17E-85	7.17E-85	1.87E-85
-49.87	7.17E-85	7.17E-85	2.01E-85
-49.86	7.17E-85	7.17E-85	2.15E-85
-49.85	7.17E-85	7.17E-85	2.30E-85
-49.84	7.17E-85	7.17E-85	2.44E-85
-49.83	7.17E-85	7.17E-85	2.58E-85
-49.82	7.17E-85	7.17E-85	2.73E-85
-49.81	7.17E-85	7.17E-85	2.87E-85
-49.8	7.17E-85	7.17E-85	3.01E-85
-49.79	7.17E-85	7.17E-85	3.16E-85
-49.78	7.17E-85	7.17E-85	3.30E-85
-49.77	7.17E-85	7.17E-85	3.44E-85
-49.76	7.17E-85	7.17E-85	3.59E-85
-49.75	7.17E-85	7.17E-85	3.73E-85
-49.74	7.17E-85	7.17E-85	3.87E-85
-49.73	7.17E-85	7.17E-85	4.02E-85
-49.72	7.17E-85	7.17E-85	4.16E-85
-49.71	7.17E-85	7.17E-85	4.30E-85
-49.7	7.17E-85	7.17E-85	4.45E-85
-49.69	7.17E-85	7.17E-85	4.59E-85
-49.68	7.17E-85	7.17E-85	4.73E-85
-49.67	7.17E-85	7.17E-85	4.88E-85
-49.66	7.17E-85	7.17E-85	5.02E-85
-49.65	7.17E-85	7.17E-85	5.17E-85
-49.64	7.17E-85	7.17E-85	5.31E-85
-49.63	7.17E-85	7.17E-85	5.45E-85
-49.62	7.17E-85	7.17E-85	5.60E-85
-49.61	7.17E-85	7.17E-85	5.74E-85
-49.6	7.17E-85	7.17E-85	5.88E-85
-49.59	7.17E-85	7.17E-85	6.03E-85
-49.58	7.17E-85	7.17E-85	6.17E-85
-49.57	7.17E-85	7.17E-85	6.31E-85
-49.56	7.17E-85	7.17E-85	6.46E-85
-49.55	7.17E-85	7.17E-85	6.60E-85
-49.54	7.17E-85	7.17E-85	6.74E-85
-49.53	7.17E-85	7.17E-85	6.89E-85
-49.52	7.17E-85	7.17E-85	7.03E-85
-49.51	7.17E-85	7.17E-85	7.17E-85
-49.5	7.17E-85	7.17E-85	7.32E-85
-49.49	7.17E-85	7.17E-85	7.46E-85
-49.48	7.17E-85	7.17E-85	7.60E-85
-49.47	7.17E-85	7.17E-85	7.75E-85
-49.46	7.17E-85	7.17E-85	7.89E-85
-49.45	7.17E-85	7.17E-85	8.03E-85
-49.44	7.17E-85	7.17E-85	8.18E-85
-49.43	7.17E-85	7.17E-85	8.32E-85
-49.42	7.17E-85	7.17E-85	8.46E-85
-49.41	7.17E-85	7.17E-85	8.61E-85
-49.4	7.17E-85	7.17E-85	8.75E-85
-49.39	7.17E-85	7.17E-85	8.90E-85
-49.38	7.17E-85	7.17E-85	9.04E-85
-49.37	7.17E-85	7.17E-85	9.18E-85
-49.36	7.17E-85	7.17E-85	9.33E-85
-49.35	7.17E-85	7.17E-85	9.47E-85
-49.34	7.17E-85	7.17E-85	9.61E-85
-49.33	7.17E-85	7.17E-85	9.76E-85
-49.32	7.17E-85	7.17E-85	9.90E-85
-49.31	7.17E-85	7.17E-85	1.00E-84
-49.3	7.17E-85	7.17E-85	1.02E-84
-49.29	7.17E-85	7.17E-85	1.03E-84
-49.28	7.17E-85	7.17E-85	1.05E-84
-49.27	7.17E-85	7.17E-85	1.06E-84
-49.26	7.17E-85	7.17E-85	1.08E-84
-49.25	7.17E-85	7.17E-85	1.09E-84
-49.24	7.17E-85	7.17E-85	1.11E-84
-49.23	7.17E-85	7.17E-85	1.12E-84
-49.22	7.17E-85	7.17E-85	1.13E-84
-49.21	7.17E-85	7.17E-85	1.15E-84
-49.2	7.17E-85	7.17E-85	1.16E-84
-49.19	7.17E-85	7.17E-85	1.18E-84
-49.18	7.17E-85	7.17E-85	1.19E-84
-49.17	7.17E-85	7.17E-85	1.21E-84
-49.16	7.17E-85	7.17E-85	1.22E-84
-49.15	7.17E-85	7.17E-85	1.23E-84
-49.14	7.17E-85	7.17E-85	1.25E-84
-49.13	7.17E-85	7.17E-85	1.26E-84
-49.12	7.17E-85	7.17E-85	1.28E-84
-49.11	7.17E-85	7.17E-85	1.29E-84
-49.1	7.17E-85	7.17E-85	1.31E-84
-49.09	7.17E-85	7.17E-85	1.32E-84
-49.08	7.17E-85	7.17E-85	1.33E-84
-49.07	7.17E-85	7.17E-85	1.35E-84
-49.06	7.17E-85	7.17E-85	1.36E-84
-49.05	7.17E-85	7.17E-85	1.38E-84
-49.04	7.17E-85	7.17E-85	1.39E-84
-49.03	7.17E-85	7.17E-85	1.41E-84
-49.02	7.17E-85	7.17E-85	1.42E-84
-49.01	7.17E-85	7.17E-85	1.44E-84
-49	7.17E-85	7.17E-85	1.45E-84
-48.99	7.17E-85	7.17E-85	1.46E-84
-48.98	7.17E-85	7.17E-85	1.48E-84
-48.97	7.17E-85	7.17E-85	1.49E-84
-48.96	7.17E-85	7.17E-85	1.51E-84
-48.95	7.17E-85	7.17E-85	1.52E-84
-48.94	7.17E-85	7.17E-85	1.54E-84
-48.93	7.17E-85	7.17E-85	1.55E-84
-48.92	7.17E-85	7.17E-85	1.56E-84
-48.91	7.17E-85	7.17E-85	1.58E-84
-48.9	7.17E-85	7.17E-85	1.59E-84
-48.89	7.17E-85	7.17E-85	1.61E-84
-48.88	7.17E-85	7.17E-85	1.62E-84
-48.87	7.17E-85	7.17E-85	1.64E-84
-48.86	7.17E-85	7.17E-85	1.65E-84
-48.85	7.17E-85	7.17E-85	1.66E-84
-48.84	7.17E-85	7.17E-85	1.68E-84
-48.83	7.17E-85	7.17E-85	1.69E-84
-48.82	7.17E-85	7.17E-85	1.71E-84
-48.81	7.17E-85	7.17E-85	1.72E-84
-48.8	7.17E-85	7.17E-85	1.74E-84
-48.79	7.17E-85	7.17E-85	1.75E-84
-48.78	7.17E-85	7.17E-85	1.77E-84
-48.77	7.17E-85	7.17E-85	1.78E-84
-48.76	7.17E-85	7.17E-85	1.79E-84
-48.75	7.17E-85	7.17E-85	1.81E-84
-48.74	7.17E-85	7.17E-85	1.82E-84
-48.73	7.17E-85	7.17E-85	1.84E-84
-48.72	7.17E-85	7.17E-85	1.85E-84
-48.71	7.17E-85	7.17E-85	1.87E-84
-48.7	7.17E-85	7.17E-85	1.88E-84
-48.69	7.17E-85	7.17E-85	1.89E-84
-48.68	7.17E-85	7.17E-85	1.91E-84
-48.67	7.17E-85	7.17E-85	1.92E-84
-48.66	7.17E-85	7.17E-85	1.94E-84
-48.65	7.17E-85	7.17E-85	1.95E-84
-48.64	7.17E-85	7.17E-85	1.97E-84
-48.63	7.17E-85	7.17E-85	1.98E-84
-48.62	7.17E-85	7.17E-85	1.99E-84
-48.61	7.17E-85	7.17E-85	2.01E-84
-48.6	7.17E-85	7.17E-85	2.02E-84
-48.59	7.17E-85	7.17E-85	2.04E-84
-48.58	7.17E-85	7.17E-85	2.05E-84
-48.57	7.17E-85	7.17E-85	2.07E-84
-48.56	7.17E-85	7.17E-85	2.08E-84
-48.55	7.17E-85	7.17E-85	2.10E-84
-48.54	7.17E-85	7.17E-85	2.11E-84
-48.53	7.17E-85	7.17E-85	2.12E-84
-48.52	7.17E-85	7.17E-85	2.14E-84
-48.51	7.17E-85	7.17E-85	2.15E-84
-48.5	7.17E-85	7.17E-85	2.17E-84
-48.49	7.17E-85	7.17E-85	2.18E-84
-48.48	7.17E-85	7.17E-85	2.20E-84
-48.47	7.17E-85	7.17E-85	2.21E-84
-48.46	7.17E-85	7.17E-85	2.22E-84
-48.45	7.17E-85	7.17E-85	2.24E-84
-48.44	7.17E-85	7.17E-85	2.25E-84
-48.43	7.17E-85	7.17E-85	2.27E-84
-48.42	7.17E-85	7.17E-85	2.28E-84
-48.41	7.17E-85	7.17E-85	2.30E-84
-48.4	7.17E-85	7.17E-85	2.31E-84
-48.39	7.17E-85	7.17E-85	2.32E-84
-48.38	7.17E-85	7.17E-85	2.34E-84
-48.37	7.17E-85	7.17E-85	2.35E-84
-48.36	7.17E-85	7.17E-85	2.37E-84
-48.35	7.17E-85	7.17E-85	2.38E-84
-48.34	7.17E-85	7.17E-85	2.40E-84
-48.33	7.17E-85	7.17E-85	2.41E-84
-48.32	7.17E-85	7.17E-85	2.43E-84
-48.31	7.17E-85	7.17E-85	2.44E-84
-48.3	7.17E-85	7.17E-85	2.45E-84
-48.29	7.17E-85	7.17E-85	2.47E-84
-48.28	7.17E-85	7.17E-85	2.48E-84
-48.27	7.17E-85	7.17E-85	2.50E-84
-48.26	7.17E-85	7.17E-85	2.51E-84
-48.25	7.17E-85	7.17E-85	2.53E-84
-48.24	7.17E-85	7.17E-85	2.54E-84
-48.23	7.17E-85	7.17E-85	2.55E-84
-48.22	7.17E-85	7.17E-85	2.57E-84
-48.21	7.17E-85	7.17E-85	2.58E-84
-48.2	7.17E-85	7.17E-85	2.60E-84
-48.19	7.17E-85	7.17E-85	2.61E-84
-48.18	7.17E-85	7.17E-85	2.63E-84
-48.17	7.17E-85	7.17E-85	2.64E-84
-48.16	7.17E-85	7.17E-85	2.65E-84
-48.15	7.17E-85	7.17E-85	2.67E-84
-48.14	7.17E-85	7.17E-85	2.68E-84
-48.13	7.17E-85	7.17E-85	2.70E-84
-48.12	7.17E-85	7.17E-85	2.71E-84
-48.11	7.17E-85	7.17E-85	2.73E-84
-48.1	7.17E-85	7.17E-85	2.74E-84
-48.09	7.17E-85	7.17E-85	2.76E-84
-48.08	7.17E-85	7.17E-85	2.77E-84
-48.07	7.17E-85	7.17E-85	2.78E-84
-48.06	7.17E-85	7.17E-85	2.80E-84
-48.05	7.17E-85	7.17E-85	2.81E-84
-48.04	7.17E-85	7.17E-85	2.83E-84
-48.03	7.17E-85	7.17E-85	2.84E-84
-48.02	7.17E-85	7.17E-85	2.86E-84
-48.01	7.17E-85	7.17E-85	2.87E-84
-48	7.17E-85	7.17E-85	2.88E-84
-47.99	7.17E-85	7.17E-85	2.90E-84
-47.98	7.17E-85	7.17E-85	2.91E-84
-47.97	7.17E-85	7.17E-85	2.93E-84
-47.96	7.17E-85	7.17E-85	2.94E-84
-47.95	7.17E-85	7.17E-85	2.96E-84
-47.94	7.17E-85	7.17E-85	2.97E-84
-47.93	7.17E-85	7.17E-85	2.98E-84
