E	(eV)	dos(E)	Int	dos(E)	EFermi	=	12.52	eV
-50	3.23E-84	3.23E-86						
-49.99	3.23E-84	6.45E-86						
-49.98	3.23E-84	9.68E-86						
-49.97	3.23E-84	1.29E-85						
-49.96	3.23E-84	1.61E-85						
-49.95	3.23E-84	1.94E-85						
-49.94	3.23E-84	2.26E-85						
-49.93	3.23E-84	2.58E-85						
-49.92	3.23E-84	2.90E-85						
-49.91	3.23E-84	3.23E-85						
-49.9	3.23E-84	3.55E-85						
-49.89	3.23E-84	3.87E-85						
-49.88	3.23E-84	4.19E-85						
-49.87	3.23E-84	4.52E-85						
-49.86	3.23E-84	4.84E-85						
-49.85	3.23E-84	5.16E-85						
-49.84	3.23E-84	5.48E-85						
-49.83	3.23E-84	5.81E-85						
-49.82	3.23E-84	6.13E-85						
-49.81	3.23E-84	6.45E-85						
-49.8	3.23E-84	6.77E-85						
-49.79	3.23E-84	7.10E-85						
-49.78	3.23E-84	7.42E-85						
-49.77	3.23E-84	7.74E-85						
-49.76	3.23E-84	8.06E-85						
-49.75	3.23E-84	8.39E-85						
-49.74	3.23E-84	8.71E-85						
-49.73	3.23E-84	9.03E-85						
-49.72	3.23E-84	9.35E-85						
-49.71	3.23E-84	9.68E-85						
-49.7	3.23E-84	1.00E-84						
-49.69	3.23E-84	1.03E-84						
-49.68	3.23E-84	1.06E-84						
-49.67	3.23E-84	1.10E-84						
-49.66	3.23E-84	1.13E-84						
-49.65	3.23E-84	1.16E-84						
-49.64	3.23E-84	1.19E-84						
-49.63	3.23E-84	1.23E-84						
-49.62	3.23E-84	1.26E-84						
-49.61	3.23E-84	1.29E-84						
-49.6	3.23E-84	1.32E-84						
-49.59	3.23E-84	1.36E-84						
-49.58	3.23E-84	1.39E-84						
-49.57	3.23E-84	1.42E-84						
-49.56	3.23E-84	1.45E-84						
-49.55	3.23E-84	1.48E-84						
-49.54	3.23E-84	1.52E-84						
-49.53	3.23E-84	1.55E-84						
-49.52	3.23E-84	1.58E-84						
-49.51	3.23E-84	1.61E-84						
-49.5	3.23E-84	1.65E-84						
-49.49	3.23E-84	1.68E-84						
-49.48	3.23E-84	1.71E-84						
-49.47	3.23E-84	1.74E-84						
-49.46	3.23E-84	1.77E-84						
-49.45	3.23E-84	1.81E-84						
-49.44	3.23E-84	1.84E-84						
-49.43	3.23E-84	1.87E-84						
-49.42	3.23E-84	1.90E-84						
-49.41	3.23E-84	1.94E-84						
-49.4	3.23E-84	1.97E-84						
-49.39	3.23E-84	2.00E-84						
-49.38	3.23E-84	2.03E-84						
-49.37	3.23E-84	2.06E-84						
-49.36	3.23E-84	2.10E-84						
-49.35	3.23E-84	2.13E-84						
-49.34	3.23E-84	2.16E-84						
-49.33	3.23E-84	2.19E-84						
-49.32	3.23E-84	2.23E-84						
-49.31	3.23E-84	2.26E-84						
-49.3	3.23E-84	2.29E-84						
-49.29	3.23E-84	2.32E-84						
-49.28	3.23E-84	2.35E-84						
-49.27	3.23E-84	2.39E-84						
-49.26	3.23E-84	2.42E-84						
-49.25	3.23E-84	2.45E-84						
-49.24	3.23E-84	2.48E-84						
-49.23	3.23E-84	2.52E-84						
-49.22	3.23E-84	2.55E-84						
-49.21	3.23E-84	2.58E-84						
-49.2	3.23E-84	2.61E-84						
-49.19	3.23E-84	2.65E-84						
-49.18	3.23E-84	2.68E-84						
-49.17	3.23E-84	2.71E-84						
-49.16	3.23E-84	2.74E-84						
-49.15	3.23E-84	2.77E-84						
-49.14	3.23E-84	2.81E-84						
-49.13	3.23E-84	2.84E-84						
-49.12	3.23E-84	2.87E-84						
-49.11	3.23E-84	2.90E-84						
-49.1	3.23E-84	2.94E-84						
-49.09	3.23E-84	2.97E-84						
-49.08	3.23E-84	3.00E-84						
-49.07	3.23E-84	3.03E-84						
-49.06	3.23E-84	3.06E-84						
-49.05	3.23E-84	3.10E-84						
-49.04	3.23E-84	3.13E-84						
-49.03	3.23E-84	3.16E-84						
-49.02	3.23E-84	3.19E-84						
-49.01	3.23E-84	3.23E-84						
